name,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,trait,group
Mountain Cur,40.64,66.04,13.6077711,27.2155422,10,13,0.2,0.6,1,0.2,0.4,Smart,Foundation Stock Service
Mudi,38.1,46.99,8.164662660000001,13.15417873,12,14,0.2,0.4,1,1,0.4,Loyal,Miscellaneous Class
Neapolitan Mastiff,60.96,78.74,49.895160700000005,68.0388555,7,9,0.4,0.6,0.6,0.2,0.2,Loyal,Working Group
Nederlandse Kooikerhondje,35.56,43.18,9.071847400000001,13.6077711,12,15,0.4,0.6,0.6,1,0.4,Friendly,Sporting Group
Newfoundland,66.04,71.12,45.359237,68.0388555,9,10,0.4,0.6,0.6,0.8,0.8,Sweet,Working Group
Norfolk Terrier,22.86,25.4,4.9895160700000005,5.4431084400000005,12,16,0.4,0.6,0.6,0.6,0.8,Courageous,Terrier Group
Norrbottenspets,41.910000000000004,45.72,9.071847400000001,13.6077711,14,17,0.4,0.4,0.8,0.8,0.6,Courageous,Miscellaneous Class
Norwegian Buhund,40.64,46.99,11.793401620000001,18.143694800000002,12,15,0.4,0.6,0.8,0.8,0.8,Confident,Herding Group
Norwegian Elkhound,49.53,52.07,21.772433760000002,24.947580350000003,12,15,0.4,0.6,0.6,0.6,0.8,Friendly,Hound Group
Norwegian Lundehund,30.48,38.1,9.071847400000001,13.6077711,12,15,0.4,0.6,0.8,0.6,0.4,Loyal,Non-Sporting Group
Norwich Terrier,25.4,25.4,5.4431084400000005,5.4431084400000005,12,15,0.4,0.6,0.8,0.6,0.8,Sweet,Terrier Group
Nova Scotia Duck Tolling Retriever,43.18,53.34,15.875732950000002,22.6796185,12,14,0.4,0.6,1,0.8,0.8,Sweet,Sporting Group
Old English Sheepdog,53.34,55.88,27.2155422,45.359237,10,12,0.6,0.6,0.6,0.4,0.6,Adaptable,Herding Group
Otterhound,60.96,68.58,36.287389600000004,52.163122550000004,10,13,0.4,0.6,0.6,0.2,0.6,Gentle,Hound Group
Papillon,20.32,27.94,2.2679618500000003,4.535923700000001,14,16,0.4,0.6,0.6,1,1,Friendly,Toy Group
Parson Russell Terrier,33.02,35.56,5.8967008100000005,7.71107029,13,15,0.4,0.4,1,0.6,0.8,Friendly,Terrier Group
Pekingese,15.24,22.86,6.35029318,6.35029318,12,14,0.6,0.6,0.4,0.2,0.4,Sweet,Toy Group
Pembroke Welsh Corgi,25.4,30.48,12.70058636,13.6077711,12,13,0.4,0.8,0.8,0.6,1,Sweet,Herding Group
Perro de Presa Canario,55.88,66.04,38.10175908,49.895160700000005,9,11,0.2,0.6,0.4,0.6,0.2,Confident,Foundation Stock Service
Peruvian Inca Orchid,24.765,65.405,3.855535145,24.947580350000003,12,14,0.2,0.8,0.8,0.6,0.4,Sweet,Miscellaneous Class
Petit Basset Griffon Vendéen,33.02,38.1,11.33980925,18.143694800000002,12,14,0.4,0.4,0.8,0.4,0.8,Alert,Hound Group
Pharaoh Hound,53.34,63.5,20.41165665,24.947580350000003,12,14,0.4,0.6,0.8,0.4,0.4,Friendly,Hound Group
Plott Hound,50.8,63.5,18.143694800000002,27.2155422,12,14,0.2,0.4,0.8,0.4,0.6,Loyal,Hound Group
Pointer,58.42,71.12,20.41165665,34.01942775,12,17,0.4,0.4,0.8,0.6,0.6,Loyal,Sporting Group
Polish Lowland Sheepdog,43.18,50.8,13.6077711,22.6796185,12,14,0.8,0.6,0.8,0.2,0.2,Confident,Herding Group
Pomeranian,15.24,17.78,1.3607771100000001,3.17514659,12,16,0.6,0.6,0.6,0.6,0.6,Smart,Toy Group
Poodle (Miniature),25.4,38.1,4.535923700000001,6.80388555,10,18,0.6,0.2,0.8,1,0.6,Energetic,Non-Sporting Group
Poodle (Standard),38.1,38.1,18.143694800000002,31.751465900000003,10,18,1,0.2,0.6,1,0.8,Energetic,Non-Sporting Group
Poodle (Toy),25.4,25.4,1.81436948,2.7215542200000002,10,18,1,0.2,0.6,1,0.8,Energetic,Toy Group
Porcelaine,55.88,58.42,24.947580350000003,28.12272694,12,13,0.2,0.6,0.8,0.2,0.6,Independent,Foundation Stock Service
Portuguese Podengo,40.64,71.12,15.875732950000002,29.937096420000003,10,12,0.4,0.8,0.8,0.6,0.4,Independent,Miscellaneous Class
Portuguese Podengo Pequeno,20.32,30.48,4.082331330000001,5.8967008100000005,12,15,0.4,0.6,0.8,0.6,0.8,Playful,Hound Group
Portuguese Pointer,52.07,55.88,15.875732950000002,26.761949830000002,14,14,0.2,0.4,0.8,1,0.8,Sweet,Foundation Stock Service
Portuguese Sheepdog,41.910000000000004,54.61,17.009713875,26.761949830000002,12,13,0.4,0.4,0.8,1,0.2,Smart,Foundation Stock Service
Portuguese Water Dog,43.18,58.42,15.875732950000002,27.2155422,11,13,0.8,0.6,0.8,0.8,0.6,Sweet,Working Group
Pudelpointer,55.88,66.04,20.41165665,31.751465900000003,14,14,0.2,0.6,0.6,1,0.6,Friendly,Foundation Stock Service
Pug,25.4,33.02,6.35029318,8.164662660000001,13,15,0.4,0.8,0.6,0.6,0.8,Sweet,Toy Group
Puli,40.64,43.18,11.33980925,15.875732950000002,10,15,1,0.2,0.6,0.4,0.4,Loyal,Herding Group
